"monastery_id","name","from","to"
"245","Bénédictins","508","1608"
"245","Feuillants","1608","1790"
"245","Carmélites","1939","-"
"246","Cisterciens","1131","1791"
"247","Cisterciennes","1142","1790"
"248","Cisterciennes","1208","1790"
"249","Cisterciennes","1239","?"
"250","Cisterciennes","1209","1789"
"251","Cisterciennes","1242","1622"
"251","Bernardines réformées","1622","1791"
"252","Cisterciens","1155","1791"
"253","Antonins","1650","1792"
"253","Trappistes","1826","-"
"254","Cisterciens","1199","1790"
"255","Cisterciennes","1242","1791"
"256","Cisterciens","1126","1791"
"257","Cisterciennes","1136","1792"
"258","Cisterciens","1109","1791"
"259","Cisterciens","1109","1791"
"260","Cisterciens","1115","1791"
"261","Cisterciens","1109","1791"
"262","Trappistes","1850","-"
"263","Cisterciennes","1240","1490"
"264","Cisterciens","1128","1790"
"265","Cisterciens","1144","1790"
"266","Cisterciens","1136","1790"
"267","Cisterciennes","1146","1790"
"267","Chartreuses","1927","-"
"268","Augustins","1045","1626"
"268","Jésuites","1626","1790"
"268","Trappistes","1824"," -"
"269","Cisterciennes","1204","1614"
"270","Cisterciens","1145","1791"
"271","Cisterciennes","1197","?"
"272","Cisterciennes","1147","?"
"273","Cisterciens","1129","1791"
"274","Cisterciens","1139","1792"
"275","Trappistines","1970","-"
"276","Cisterciens","1162","1791"
"277","Cisterciennes","1217","1671"
"277","Cisterciennes","1671","1790"
"278","Cisterciennes","1218","1648 / 1790"
"279","Cisterciennes","1205","1790"
"280","Cisterciens","1150","14.."
"281","Bénédictins","1180","1247"
"281","Cisterciennes","1247","1790"
"282","Cisterciens","1145","1791"
"283","Bernardines","1965","2015"
"284","Cisterciens","1153","1793"
"285","Cisterciens","1135","1791"
"286","Bénédictins","1120","1141"
"286","Cisterciens","1141","1792"
"287","Cisterciens","1440","1791"
"288","Bernardines","1948","-"
"289","Cisterciens","1143","1791"
"290","Cisterciennes","1226","1790"
"291","Cisterciens","1151","1791"
"292","Cisterciens","1323","1740"
"293","Cisterciens","1114","1791"
"294","Cisterciens","1134","1791"
"295","Cisterciennes","1204","1709"
"296","Cisterciennes","1625","1790"
"297","Cisterciens","1233","1791"
"297","Trappistes","1815","-"
"298","Cisterciens","1162","1790"
"299","Cisterciens","1145","1790"
"299","Petits frères des Pauvres","1954","-"
"300","Cisterciennes","1217","1790"
"301","Cisterciennes","1221","1790"
"302","Cisterciens","1118","1791"
"303","Cisterciens","1252","1791"
"304","Cisterciennes","1225","1648"
"304","Cisterciennes","1399","1751"
"305","Cisterciens","1133","1790"
"306","Cisterciennes","1191","1792"
"307","Cisterciens","1150","1574"
"307","Oratoriens","1626","1793"
"308","Cisterciens","1142","1791"
"309","Cisterciennes","1235","1792"
"310","Cisterciens","1128","1790"
